source_type,source_dataset,dataset_version,pre_body_id,pre_instance,pre_cell_type,post_body_id,post_instance,post_cell_type,synapse_count,reference,verification_status,notes
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20588,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,43,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,28945,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,42,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22034,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,42,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20917,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,42,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20808,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,42,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21313,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,41,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,29563,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,40,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21151,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,40,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17987,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,39,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19954,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,38,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19260,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,37,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17054,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,37,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,38065,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,36,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,31262,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,36,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20282,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,35,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17548,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,35,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,23098,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,32,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21165,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,31,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,25584,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,30,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19550,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,21,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17478,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,86,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17653,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,83,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
